theta        omega       
-6.28318531  2.40000000  
-6.22732607  2.39935003  
-6.17149704  2.39740247  
-6.11572841  2.39416450  
-6.06005009  2.38964790  
-6.00449162  2.38386900  
-5.94908213  2.37684866  
-5.89385130  2.36860126  
-5.83882847  2.35915345  
-5.78404104  2.34854854  
-5.72951526  2.33683073  
-5.67527627  2.32404512  
-5.62134801  2.31023772  
-5.56775332  2.29545539  
-5.51451384  2.27974592  
-5.46165010  2.26315798  
-5.40918146  2.24574114  
-5.35712615  2.22754584  
-5.30550122  2.20862343  
-5.25432261  2.18902616  
-5.20360508  2.16880715  
-5.15336224  2.14802044  
-5.10360658  2.12672094  
-5.05434942  2.10496447  
-5.00560092  2.08280772  
-4.95737012  2.06030828  
-4.90966487  2.03752466  
-4.86249192  2.01451623  
-4.81585684  1.99134327  
-4.76976405  1.96806693  
-4.72421683  1.94474928  
-4.67921730  1.92145328  
-4.63476578  1.89822011  
-4.59085878  1.87507579  
-4.54749154  1.85206013  
-4.50465880  1.82921157  
-4.46235483  1.80656712  
-4.42057338  1.78416242  
-4.37930773  1.76203172  
-4.33855067  1.74020787  
-4.29829451  1.71872232  
-4.25853104  1.69760516  
-4.21925159  1.67688504  
-4.18044699  1.65658926  
-4.14210758  1.63674370  
-4.10422322  1.61737286  
-4.06678325  1.59849984  
-4.02977657  1.58014637  
-3.99319155  1.56233275  
-3.95701608  1.54507792  
-3.92123757  1.52839942  
-3.88584295  1.51231338  
-3.85081862  1.49683456  
-3.81615054  1.48197631  
-3.78182414  1.46775060  
-3.74782440  1.45416801  
-3.71413577  1.44123772  
-3.68074223  1.42896752  
-3.64762729  1.41736379  
-3.61477393  1.40643155  
-3.58216467  1.39617442  
-3.54978157  1.38659465  
-3.51761037  1.37770064  
-3.48563704  1.36950089  
-3.45384530  1.36199959  
-3.42221886  1.35520056  
-3.39074139  1.34910725  
-3.35939656  1.34372274  
-3.32816800  1.33904974  
-3.29703935  1.33509059  
-3.26599418  1.33184724  
-3.23501610  1.32932130  
-3.20408865  1.32751398  
-3.17319537  1.32642613  
-3.14231979  1.32605824  
-3.11144539  1.32641040  
-3.08055567  1.32748235  
-3.04963407  1.32927345  
-3.01866403  1.33178270  
-2.98762897  1.33500872  
-2.95651229  1.33894975  
-2.92529736  1.34360367  
-2.89396753  1.34896799  
-2.86250615  1.35503984  
-2.83089652  1.36181598  
-2.79912195  1.36929281  
-2.76716570  1.37746634  
-2.73501103  1.38633222  
-2.70264117  1.39588572  
-2.67003934  1.40612175  
-2.63718873  1.41703485  
-2.60407286  1.42861881  
-2.57068588  1.44085689  
-2.53701469  1.45374079  
-2.50304095  1.46726676  
-2.46874697  1.48142935  
-2.43411577  1.49622133  
-2.39913103  1.51163376  
-2.36377711  1.52765594  
-2.32803905  1.54427545  
-2.29190255  1.56147812  
-2.25535401  1.57924804  
-2.21838049  1.59756756  
-2.18096972  1.61641731  
-2.14311013  1.63577614  
-2.10479079  1.65562120  
-2.06600149  1.67592788  
-2.02673267  1.69666984  
-1.98697544  1.71781899  
-1.94672160  1.73934552  
-1.90596362  1.76121786  
-1.86469465  1.78340271  
-1.82290851  1.80586503  
-1.78059970  1.82856804  
-1.73776341  1.85147322  
-1.69439547  1.87454032  
-1.65049242  1.89772733  
-1.60605146  1.92099052  
-1.56107048  1.94428442  
-1.51554802  1.96756180  
-1.46948332  1.99077372  
-1.42287603  2.01387293  
-1.37572436  2.03685479  
-1.32803376  2.05966388  
-1.27981253  2.08222626  
-1.23106995  2.10447042  
-1.18181632  2.12632728  
-1.13206291  2.14773018  
-1.08182201  2.16861490  
-1.03110690  2.18891964  
-0.97993183  2.20858501  
-0.92831206  2.22755407  
-0.87626387  2.24577228  
-0.82380449  2.26318755  
-0.77095217  2.27975020  
-0.71772616  2.29541300  
-0.66414669  2.31013110  
-0.61023499  2.32386213  
-0.55601329  2.33656610  
-0.50150480  2.34820547  
-0.44673375  2.35874513  
-0.39172533  2.36815239  
-0.33650576  2.37639696  
-0.28110224  2.38345103  
-0.22554295  2.38928916  
-0.16985709  2.39388838  
-0.11407484  2.39722811  
-0.05822737  2.39929022  
-0.00234687  2.40005901  
0.05353351   2.39952118  
0.10937959   2.39766587  
0.16515715   2.39448603  
0.22084029   2.38999960  
0.27640016   2.38423807  
0.33180718   2.37723340  
0.38703279   2.36901901  
0.44204950   2.35962976  
0.49683084   2.34910201  
0.55135141   2.33747352  
0.60558684   2.32478356  
0.65951380   2.31107283  
0.71311001   2.29638348  
0.76635424   2.28075915  
0.81922630   2.26424491  
0.87170705   2.24688730  
0.92377838   2.22873431  
0.97542323   2.20983539  
1.02662560   2.19024145  
1.07737052   2.17000486  
1.12764406   2.14917945  
1.17743334   2.12782049  
1.22672654   2.10598472  
1.27551286   2.08373035  
1.32378256   2.06111702  
1.37152694   2.03820585  
1.41873833   2.01505942  
1.46541014   1.99174174  
1.51153679   1.96831831  
1.55711376   1.94485607  
1.60213758   1.92142342  
1.64660580   1.89809021  
1.69051866   1.87491545  
1.73388749   1.85188469  
1.77671936   1.82902439  
1.81902044   1.80637060  
1.86079734   1.78395805  
1.90205710   1.76182015  
1.94280725   1.73998902  
1.98305575   1.71849545  
2.02281103   1.69736892  
2.06208194   1.67663760  
2.10087783   1.65632835  
2.13920847   1.63646672  
2.17708408   1.61707693  
2.21451536   1.59818192  
2.25151343   1.57980328  
2.28808990   1.56196131  
2.32425680   1.54467500  
2.36002663   1.52796201  
2.39541235   1.51183871  
2.43042734   1.49632013  
2.46508547   1.48142002  
2.49940105   1.46715080  
2.53338883   1.45352357  
2.56706403   1.44054812  
2.60044233   1.42823295  
2.63353982   1.41658523  
2.66637311   1.40561081  
2.69895919   1.39531423  
2.73131557   1.38569874  
2.76346016   1.37676626  
2.79540944   1.36852034  
2.82717587   1.36097080  
2.85877564   1.35412200  
2.89022518   1.34797755  
2.92154094   1.34254068  
2.95273937   1.33781424  
2.98383693   1.33380070  
3.01485008   1.33050214  
3.04579527   1.32792025  
3.07668899   1.32605636  
3.10754770   1.32491140  
3.13838789   1.32448593  
3.16922604   1.32478010  
3.20007865   1.32579372  
3.23096220   1.32752617  
3.26189321   1.32997649  
3.29288817   1.33314332  
3.32396360   1.33702490  
3.35513602   1.34161911  
3.38642194   1.34692345  
3.41783790   1.35293502  
3.44940042   1.35965055  
3.48112605   1.36706637  
3.51303132   1.37517846  
3.54513278   1.38398239  
3.57744699   1.39347334  
3.60999050   1.40364615  
3.64277988   1.41449523  
3.67583169   1.42601463  
3.70916251   1.43819801  
3.74278309   1.45103288  
3.77670027   1.46450348  
3.81093220   1.47860520  
3.84549657   1.49333194  
3.88041036   1.50867579  
3.91568984   1.52462705  
3.95135052   1.54117425  
3.98740722   1.55830410  
4.02387401   1.57600154  
4.06076428   1.59424970  
4.09809065   1.61302992  
4.13586504   1.63232175  
4.17409865   1.65210297  
4.21280195   1.67234953  
4.25198470   1.69303561  
4.29165591   1.71413359  
4.33182389   1.73561407  
4.37249623   1.75744585  
4.41367978   1.77959593  
4.45538068   1.80202952  
4.49760435   1.82471005  
4.54035547   1.84759915  
4.58363802   1.87065665  
4.62745524   1.89384061  
4.67180965   1.91710727  
4.71670306   1.94041109  
4.76213654   1.96370475  
4.80811045   1.98693912  
4.85462442   2.01006328  
4.90167737   2.03302453  
4.94926930   2.05579844  
4.99739627   2.07835620  
5.04604861   2.10062288  
5.09521566   2.12252600  
5.14488584   2.14399571  
5.19504659   2.16496481  
5.24568437   2.18536876  
5.29678472   2.20514567  
5.34833220   2.22423628  
5.40031040   2.24258400  
5.45270199   2.26013487  
5.50548863   2.27683761  
5.55865106   2.29264356  
5.61216904   2.30750672  
5.66602139   2.32138373  
5.72018595   2.33423390  
5.77463961   2.34601917  
5.82935831   2.35670414  
5.88431702   2.36625606  
5.93948974   2.37464481  
5.99484954   2.38184295  
6.05036852   2.38782566  
6.10601780   2.39257079  
6.16176756   2.39605883  
6.21758703   2.39827292  
6.27344447   2.39919886  
6.32930716   2.39882507  
