theta        omega       
0.00000000   0.40000000  
0.00857586   0.39990806  
0.01714778   0.39963228  
0.02571181   0.39917282  
0.03426403   0.39852991  
0.04280059   0.39770391  
0.05131754   0.39669526  
0.05981091   0.39550450  
0.06827678   0.39413225  
0.07671124   0.39257923  
0.08511041   0.39084628  
0.09347046   0.38893428  
0.10178755   0.38684426  
0.11005790   0.38457730  
0.11827774   0.38213459  
0.12644334   0.37951742  
0.13455098   0.37672716  
0.14259697   0.37376529  
0.15057768   0.37063336  
0.15848970   0.36733299  
0.16633001   0.36386583  
0.17409487   0.36023372  
0.18178054   0.35643858  
0.18938338   0.35248238  
0.19689978   0.34836715  
0.20432622   0.34409499  
0.21165926   0.33966803  
0.21889550   0.33508849  
0.22603161   0.33035863  
0.23306436   0.32548078  
0.23999055   0.32045732  
0.24680707   0.31529069  
0.25351087   0.30998339  
0.26009896   0.30453797  
0.26656844   0.29895706  
0.27291645   0.29324333  
0.27914022   0.28739951  
0.28523704   0.28142839  
0.29120426   0.27533283  
0.29703932   0.26911573  
0.30273969   0.26278007  
0.30830295   0.25632887  
0.31372671   0.24976520  
0.31900868   0.24309223  
0.32414662   0.23631314  
0.32913836   0.22943120  
0.33398180   0.22244973  
0.33867490   0.21537211  
0.34321571   0.20820176  
0.34760238   0.20094172  
0.35183313   0.19359446  
0.35590597   0.18616337  
0.35981899   0.17865189  
0.36357039   0.17106343  
0.36715843   0.16340144  
0.37058147   0.15566935  
0.37383796   0.14787062  
0.37692640   0.14000869  
0.37984543   0.13208702  
0.38259374   0.12410908  
0.38517010   0.11607834  
0.38757340   0.10799828  
0.38980257   0.09987236  
0.39185667   0.09170409  
0.39373482   0.08349696  
0.39543622   0.07525446  
0.39696018   0.06698011  
0.39830607   0.05867740  
0.39947337   0.05034986  
0.40046162   0.04200101  
0.40127047   0.03363438  
0.40189964   0.02525350  
0.40234893   0.01686192  
0.40261825   0.00846317  
0.40270756   0.00006081  
0.40261694   -0.00834161 
0.40234655   -0.01674052 
0.40189660   -0.02513235 
0.40126744   -0.03351353 
0.40045928   -0.04188085 
0.39947222   -0.05023118 
0.39830660   -0.05856077 
0.39696288   -0.06686591 
0.39544154   -0.07514290 
0.39374319   -0.08338810 
0.39186850   -0.09159786 
0.38981820   -0.09976857 
0.38759314   -0.10789664 
0.38519423   -0.11597853 
0.38262244   -0.12401068 
0.37987884   -0.13198960 
0.37696459   -0.13991181 
0.37388090   -0.14777385 
0.37062908   -0.15557229 
0.36721052   -0.16330373 
0.36362668   -0.17096480 
0.35987910   -0.17855214 
0.35596940   -0.18606243 
0.35189929   -0.19349237 
0.34767054   -0.20083868 
0.34328502   -0.20809813 
0.33874467   -0.21526749 
0.33405150   -0.22234357 
0.32920762   -0.22932319 
