theta        omega       
0.00000000   0.80000000  
0.01772591   0.79980360  
0.03544311   0.79921456  
0.05314293   0.79823336  
0.07081667   0.79686078  
0.08845566   0.79509793  
0.10605125   0.79294621  
0.12359487   0.79040734  
0.14107796   0.78748333  
0.15849204   0.78417651  
0.17582952   0.78048925  
0.19308216   0.77642456  
0.21024126   0.77198589  
0.22729825   0.76717689  
0.24424467   0.76200136  
0.26107224   0.75646329  
0.27777279   0.75056686  
0.29433830   0.74431642  
0.31076090   0.73771649  
0.32703283   0.73077179  
0.34314651   0.72348721  
0.35909446   0.71586782  
0.37486936   0.70791886  
0.39046402   0.69964577  
0.40587141   0.69105415  
0.42108460   0.68214980  
0.43609684   0.67293868  
0.45090150   0.66342693  
0.46549208   0.65362089  
0.47986224   0.64352706  
0.49400576   0.63315212  
0.50791657   0.62250295  
0.52158875   0.61158659  
0.53501649   0.60041027  
0.54819414   0.58898139  
0.56111619   0.57730753  
0.57377729   0.56539626  
0.58617266   0.55325236  
0.59829722   0.54088194  
0.61014587   0.52829198  
0.62171368   0.51548940  
0.63299585   0.50248106  
0.64398778   0.48927380  
0.65468499   0.47587441  
0.66508318   0.46228962  
0.67517819   0.44852613  
0.68496604   0.43459060  
0.69444289   0.42048961  
0.70360506   0.40622975  
0.71244904   0.39181751  
0.72097147   0.37725938  
0.72916915   0.36256177  
0.73703902   0.34773107  
0.74457821   0.33277361  
0.75178398   0.31769569  
0.75865377   0.30250354  
0.76518515   0.28720336  
0.77137589   0.27180132  
0.77722388   0.25630352  
0.78272718   0.24071603  
0.78788400   0.22504487  
0.79269274   0.20929601  
0.79715192   0.19347538  
0.80126023   0.17758887  
0.80501652   0.16164231  
0.80841981   0.14564151  
0.81146921   0.12959214  
0.81416346   0.11349911  
0.81650139   0.09736767  
0.81848202   0.08120322  
0.82010450   0.06501118  
0.82136814   0.04879697  
0.82227238   0.03256605  
0.82281677   0.01632387  
0.82300103   0.00007591  
0.82282501   -0.01617232 
0.82228868   -0.03241531 
0.82139216   -0.04864755 
0.82013570   -0.06486348 
0.81851971   -0.08105754 
0.81654470   -0.09722416 
0.81421134   -0.11335775 
0.81152043   -0.12945269 
0.80847292   -0.14550337 
0.80506986   -0.16150413 
0.80131249   -0.17744933 
0.79720214   -0.19333329 
0.79274031   -0.20915032 
0.78792860   -0.22489472 
0.78276879   -0.24056076 
0.77726277   -0.25614270 
0.77141257   -0.27163480 
0.76522036   -0.28703128 
0.75868845   -0.30232636 
0.75181927   -0.31751423 
0.74461541   -0.33258907 
0.73707951   -0.34754523 
0.72921387   -0.36237737 
0.72102123   -0.37707862 
0.71250452   -0.39164194 
0.70366684   -0.40606034 
0.69451146   -0.42032682 
0.68504177   -0.43443442 
0.67526133   -0.44837623 
0.66517387   -0.46214532 
0.65478324   -0.47573483 
0.64409346   -0.48913791 
0.63310872   -0.50234773 
0.62183334   -0.51535751 
0.61027179   -0.52816046 
0.59842873   -0.54074985 
0.58630892   -0.55311897 
0.57391732   -0.56526113 
0.56125903   -0.57716966 
0.54833929   -0.58883794 
0.53516350   -0.60025936 
0.52173722   -0.61142733 
0.50806617   -0.62233530 
0.49415620   -0.63297675 
0.48001334   -0.64334519 
0.46564375   -0.65343413 
0.45105376   -0.66323713 
0.43624984   -0.67274777 
0.42123864   -0.68195967 
0.40602693   -0.69086646 
0.39062165   -0.69946180 
0.37502943   -0.70774019 
0.35925585   -0.71569832 
0.34330848   -0.72332989 
0.32719514   -0.73062855 
0.31092370   -0.73758829 
0.29450206   -0.74420342 
0.27793816   -0.75046856 
0.26124001   -0.75637866 
0.24441562   -0.76192897 
0.22747309   -0.76711508 
0.21042053   -0.77193287 
0.19326610   -0.77637858 
0.17601801   -0.78044873 
0.15868451   -0.78414018 
0.14127388   -0.78745010 
0.12379446   -0.79037599 
0.10625463   -0.79291566 
0.08866281   -0.79506724 
0.07102746   -0.79682918 
0.05335708   -0.79820024 
0.03566023   -0.79917951 
0.01794549   -0.79976641 
0.00022149   -0.79996064 
-0.01750308  -0.79976226 
-0.03521951  -0.79917163 
-0.05291903  -0.79818943 
-0.07059284  -0.79681666 
-0.08823210  -0.79505463 
-0.10582790  -0.79290500 
-0.12337132  -0.79036970 
-0.14085419  -0.78745049 
-0.15826972  -0.78414850 
-0.17560906  -0.78046658 
-0.19286337  -0.77640783 
-0.21002397  -0.77197556 
-0.22708228  -0.76717326 
-0.24402989  -0.76200461 
-0.26085852  -0.75647348 
-0.27756001  -0.75058393 
-0.29412636  -0.74434021 
-0.31054971  -0.73774676 
-0.32682232  -0.73080820 
-0.34293661  -0.72352936 
-0.35888512  -0.71591523 
-0.37466053  -0.70797102 
-0.39025568  -0.69970211 
-0.40566353  -0.69111407 
-0.42087718  -0.68221267 
-0.43588987  -0.67300386 
-0.45069497  -0.66349378 
-0.46528602  -0.65368877 
-0.47965666  -0.64359535 
-0.49380069  -0.63322022 
-0.50771204  -0.62257029 
-0.52138478  -0.61165264 
-0.53481313  -0.60047456 
-0.54799143  -0.58904351 
-0.56091418  -0.57736715 
-0.57357599  -0.56545333 
-0.58597164  -0.55331007 
-0.59809625  -0.54094360 
-0.60994524  -0.52835749 
-0.62151369  -0.51555859 
-0.63279680  -0.50255380 
-0.64378995  -0.48934999 
-0.65448866  -0.47595397 
-0.66488861  -0.46237248 
-0.67498565  -0.44861225 
-0.68477576  -0.43467995 
-0.69425511  -0.42058218 
-0.70341998  -0.40632552 
-0.71226686  -0.39191649 
-0.72079235  -0.37736156 
-0.72899323  -0.36266715 
-0.73686643  -0.34783965 
-0.74440903  -0.33288537 
-0.75161829  -0.31781061 
-0.75849160  -0.30262159 
-0.76502651  -0.28732450 
-0.77122073  -0.27192547 
-0.77707214  -0.25643060 
-0.78257876  -0.24084591 
-0.78773876  -0.22517742 
-0.79255048  -0.20943105 
-0.79701242  -0.19361271 
-0.80112321  -0.17772825 
-0.80488167  -0.16178346 
-0.80828676  -0.14578409 
-0.81133758  -0.12973586 
-0.81403342  -0.11364441 
-0.81637343  -0.09751505 
-0.81835648  -0.08135277 
-0.81998169  -0.06516295 
-0.82124833  -0.04895097 
-0.82215581  -0.03272223 
-0.82270367  -0.01648216 
-0.82289161  -0.00023622 
-0.82271942  0.01601012  
-0.82218708  0.03225138  
-0.82129468  0.04848204  
-0.82004245  0.06469656  
-0.81843076  0.08088940  
-0.81646011  0.09705497  
-0.81413115  0.11318768  
-0.81144466  0.12928190  
-0.80840156  0.14533202  
-0.80500291  0.16133235  
-0.80124989  0.17727723  
-0.79714385  0.19316094  
-0.79268624  0.20897777  
-0.78787868  0.22472198  
-0.78272291  0.24038780  
-0.77722080  0.25596943  
-0.77137438  0.27146109  
-0.76518580  0.28685693  
-0.75865735  0.30215111  
-0.75179147  0.31733777  
-0.74459073  0.33241100  
-0.73705782  0.34736490  
-0.72919559  0.36219354  
-0.72100666  0.37689163  
-0.71249371  0.39145301  
-0.70365983  0.40587048  
-0.69450829  0.42013690  
-0.68504249  0.43424514  
-0.67526598  0.44818813  
-0.66518249  0.46195884  
-0.65479588  0.47555027  
-0.64411017  0.48895545  
-0.63312952  0.50216748  
-0.62185827  0.51517947  
-0.61030089  0.52798458  
-0.59846200  0.54057602  
-0.58634639  0.55294701  
-0.57395899  0.56509084  
-0.56130489  0.57700083  
-0.54838933  0.58867032  
-0.53521770  0.60009272  
-0.52179555  0.61126147  
-0.50812856  0.62217002  
-0.49422259  0.63281190  
-0.48008365  0.64318067  
-0.46571788  0.65326990  
-0.45113160  0.66307323  
-0.43633126  0.67258433  
-0.42132347  0.68179692  
-0.40611501  0.69070473  
-0.39071278  0.69930155  
-0.37512387  0.70758122  
-0.35935547  0.71553761  
-0.34341396  0.72316609  
-0.32730635  0.73046152  
-0.31104046  0.73741808  
-0.29462414  0.74403021  
-0.27806531  0.75029268  
-0.26137192  0.75620056  
-0.24455200  0.76174922  
-0.22761360  0.76693433  
-0.21056482  0.77175186  
-0.19341385  0.77619811  
-0.17616888  0.78026964  
-0.15883818  0.78396335  
-0.14143005  0.78727642  
-0.12395287  0.79020635  
-0.10641504  0.79275094  
-0.08882503  0.79490828  
-0.07119135  0.79667678  
-0.05352256  0.79805514  
-0.03582727  0.79904237  
-0.01811414  0.79963779  
-0.00039190  0.79984100  
0.01733071   0.79965194  
0.03504486   0.79907081  
0.05274170   0.79809816  
