theta        omega       
0.00000000   2.00000000  
0.14178602   1.99497629  
0.28286391   1.98002789  
0.42253770   1.95553247  
0.56014921   1.92207609  
0.69509333   1.88042323  
0.82681189   1.83150330  
0.95479413   1.77633175  
1.07866886   1.71602856  
1.19813459   1.65167046  
1.31294781   1.58427002  
1.42292298   1.51477570  
1.52793252   1.44407178  
1.62790683   1.37297843  
1.72283425   1.30225165  
1.81276111   1.23258330  
1.89779001   1.16453680  
1.97806168   1.09840534  
2.05372944   1.03443489  
2.12495351   0.97283029  
2.19190096   0.91375371  
2.25474575   0.85732461  
2.31366869   0.80361974  
2.36885743   0.75267318  
2.42050650   0.70447630  
2.46881731   0.65897779  
2.51399809   0.61608363  
2.55626058   0.57566653  
2.59577692   0.53764382  
2.63269327   0.50192287  
2.66715333   0.46840333  
2.69929786   0.43698388  
2.72926461   0.40756221  
2.75718838   0.38003507  
2.78320096   0.35429820  
2.80743120   0.33024639  
2.83000494   0.30777345  
2.85104505   0.28677221  
2.87067132   0.26713461  
2.88897951   0.24876883  
2.90604045   0.23160554  
2.92192656   0.21557537  
2.93670820   0.20061058  
2.95045368   0.18664501  
2.96322925   0.17361409  
2.97509911   0.16145488  
2.98612538   0.15010600  
2.99636815   0.13950769  
3.00588544   0.12960179  
3.01473322   0.12033173  
3.02296115   0.11164645  
3.03060054   0.10351204  
3.03768373   0.09589410  
3.04424239   0.08875865  
3.05030704   0.08207256  
3.05590707   0.07580355  
3.06107074   0.06992020  
3.06582516   0.06439191  
3.07019632   0.05918896  
3.07420905   0.05428246  
3.07788707   0.04964438  
3.08125187   0.04524848  
3.08431676   0.04107604  
3.08709432   0.03710915  
3.08959682   0.03332975  
3.09183577   0.02971999  
3.09382192   0.02626220  
3.09556525   0.02293891  
3.09707500   0.01973283  
3.09835963   0.01662688  
3.09942684   0.01360418  
3.10028359   0.01064802  
3.10093553   0.00774225  
3.10138413   0.00487357  
3.10163064   0.00202907  
3.10167575   -0.00080469 
3.10151927   -0.00364148 
3.10116021   -0.00649545 
3.10059671   -0.00938112 
3.09982607   -0.01231339 
3.09884474   -0.01530751 
3.09764834   -0.01837911 
3.09623164   -0.02154419 
3.09458751   -0.02481905 
3.09270680   -0.02821948 
3.09058015   -0.03176170 
3.08819682   -0.03546306 
3.08554469   -0.03934204 
3.08261024   -0.04341824 
3.07937859   -0.04771244 
3.07583343   -0.05224650 
3.07195710   -0.05704346 
3.06773053   -0.06212746 
3.06313227   -0.06752475 
3.05813811   -0.07326331 
3.05272436   -0.07936982 
3.04686466   -0.08587341 
3.04052983   -0.09280590 
3.03368788   -0.10020170 
3.02630397   -0.10809792 
3.01834044   -0.11653429 
3.00975681   -0.12555319 
3.00050975   -0.13519965 
2.99055314   -0.14552137 
2.97983799   -0.15656865 
2.96831252   -0.16839449 
2.95591911   -0.18105538 
2.94259448   -0.19461290 
2.92827545   -0.20913193 
